Ranking,Name,
81,University of Wisconsin-MadisonUnited States,"40,701",10,14%,n/a
82,Emory UniversityUnited States,"13,190",4.2,20%,60 : 40
82,University of GlasgowUnited Kingdom,,,,
"28,540",13.5,41%,59 : 41,,
82,University of ZurichSwitzerland,"25,003",13.7,22%,56 : 44
85,McMaster UniversityCanada,,,,
"26,403",29,20%,56 : 44,,
86,Humboldt University of BerlinGermany,"34,399",53.2,17%,n/a
86,University of TübingenGermany,"20,620",27.5,13%,59 : 41
88,University of AdelaideAustralia,,,,
"23,102",32.8,32%,49 : 51,,
89,University of BonnGermany,"27,210",47.5,17%,56 : 44
90,Sorbonne UniversityFrance,"41,443",13.9,21%,59 : 41
91,Free University of BerlinGermany,"26,497",41.9,23%,62 : 38
91,Korea Advanced Institute of Science and Technology (KAIST)South Korea,"9,946",10.7,9%,21 : 79
93,Université Paris-SaclayFrance,"44,443",14.9,19%,49 : 51
94,University of BernSwitzerland,"11,728",17.2,17%,58 : 42
95,"University of California, IrvineUnited States","36,655",16.9,28%,52 : 48
95,Institut Polytechnique de ParisFrance,"5,999",6.7,41%,24 : 76
95,Nanjing UniversityChina,"36,426",16.5,8%,54 : 46
98,Vanderbilt UniversityUnited States,"12,696",3.8,15%,55 : 45
99,City University of Hong KongHong Kong,,,,
"9,099",12.1,62%,54 : 46,,
99,RWTH Aachen UniversityGermany,"39,738",50,28%,33 : 67
101,University of BaselSwitzerland,"8,632",10.9,30%,57 : 43
101,King Abdulaziz UniversitySaudi Arabia,,,,
"31,545",7.8,22%,54 : 46,,
101,University of MinnesotaUnited States,"61,009",12,10%,54 : 46
104,"University of MarylandUnited States","33,775",16.5,11%,49 : 51
104,University of WarwickUnited Kingdom,,,,
"23,230",13.1,44%,50 : 50,,
106,Michigan State UniversityUnited States,"45,465",16,13%,52 : 48
107,Ghent UniversityBelgium,"39,437",35.6,12%,57 : 43
108,University of BirminghamUnited Kingdom,"31,820",15,34%,58 : 42
108,University of SouthamptonUnited Kingdom,"21,175",13.7,39%,53 : 47
110,University of HelsinkiFinland,"23,059",15.8,5%,67 : 33
111,University of MontrealCanada,,,,
"38,189",20.8,22%,n/a,,
112,Ohio State UniversityUnited States,"55,814",11.8,13%,51 : 49
113,University of FreiburgGermany,"20,253",37.2,17%,53 : 47
114,University of CopenhagenDenmark,"31,519",4.2,16%,62 : 38
114,Université Paris CitéFrance,,,,
"62,747",17,19%,65 : 35,,
114,University of SheffieldUnited Kingdom,,,,
"27,465",14.5,41%,53 : 47,,
117,Aarhus UniversityDenmark,"26,475",13.5,10%,55 : 45
118,University of AlbertaCanada,"32,338",21.6,28%,n/a
119,University of GöttingenGermany,"30,221",26,14%,52 : 48
119,Lund UniversitySweden,"28,545",11.5,18%,55 : 45
121,Vrije Universiteit AmsterdamNetherlands,"29,796",19.8,16%,56 : 44
122,Lancaster UniversityUnited Kingdom,"14,380",12.8,39%,51 : 49
123,Dartmouth CollegeUnited States,"6,440",7.8,15%,49 : 51
124,Queen Mary University of LondonUnited Kingdom,"20,505",13.1,46%,55 : 45
124,University of ViennaAustria,"35,929",42.9,29%,66 : 34
126,University of OsloNorway,"21,548",13.3,15%,66 : 34
127,Purdue UniversityUnited States,"44,551",16.9,20%,44 : 56
128,University of HamburgGermany,"30,676",61.5,12%,58 : 42
128,University of LeedsUnited Kingdom,"33,990",14.6,36%,60 : 40
130,University of NottinghamUnited Kingdom,"32,875",15.1,31%,54 : 46
131,University of AntwerpBelgium,"15,857",32.2,17%,56 : 44
131,The University of Western AustraliaAustralia,"18,405",21.3,28%,49 : 51
133,University of Technology SydneyAustralia,,,,
"27,481",35.1,31%,50 : 50,,
134,Case Western Reserve UniversityUnited States,"10,934",8.2,20%,51 : 49
135,University of LausanneSwitzerland,"13,401",10.2,23%,n/a
136,Georgetown UniversityUnited States,"16,074",8,19%,54 : 46
137,University of ExeterUnited Kingdom,"24,165",15.9,29%,53 : 47
137,University of OttawaCanada,,,,
"36,670",26,24%,58 : 42,,
139,University of AucklandNew Zealand,"33,093",22.1,32%,56 : 44
139,Newcastle UniversityUnited Kingdom,,,,
"25,590",15.1,29%,52 : 48,,
139,Radboud University NijmegenNetherlands,,,,
"21,979",17.6,13%,56 : 44,,
139,University of WürzburgGermany,"23,754",40.7,10%,58 : 42
139,University of YorkUnited Kingdom,"17,665",14.4,28%,56 : 44
144,University of PittsburghUnited States,"26,575",5.5,11%,55 : 45
145,Maastricht UniversityNetherlands,"19,909",18.6,56%,60 : 40
146,University of CologneGermany,"33,341",30.4,16%,n/a
147,Rice UniversityUnited States,"7,068",9.2,28%,43 : 57
148,University of ColoradoUnited States,"34,928",16,8%,45 : 55
148,Ulm UniversityGermany,"10,271",26.2,13%,51 : 49
148,Uppsala UniversitySweden,"25,548",15.3,17%,62 : 38
151,University of FloridaUnited States,"46,807",16.1,8%,56 : 44
151,Pennsylvania StateUnited States,"46,863",14,16%,47 : 53
151,Tufts UniversityUnited States,"11,399",10,16%,56 : 44
154,University of RochesterUnited States,"10,364",7.7,36%,50 : 50
155,KTH Royal Institute of TechnologySweden,"13,329",16.4,20%,34 : 66
156,Arizona State University (Tempe)United States,,,,
"50,027",19.6,17%,45 : 55,,
156,Technical University of BerlinGermany,"20,243",48.1,27%,35 : 65
156,TU DresdenGermany,"30,382",30.8,16%,45 : 55
156,University of VirginiaUnited States,"25,810",9,13%,53 : 47
160,University of Cape TownSouth Africa,,,,
"21,069",12.8,15%,54 : 46,,
161,University of BolognaItaly,,,,
"69,831",24.4,12%,56 : 44,,
161,Trinity College DublinIreland,,,,
"17,764",21,28%,60 : 40,,
163,University of LeicesterUnited Kingdom,"14,650",14.1,34%,54 : 46
163,"Lomonosov Moscow State University
Russian Federation","32,625",10,36%,50 : 50
163,Pohang University of Science and Technology (POSTECH)South Korea,,,,
"3,260",10,3%,n/a,,
166,Southern University of Science and Technology (SUSTech)China,,,,
"5,137",8.8,1%,n/a,,
166,Technical University of DenmarkDenmark,"9,599",6.9,26%,32 : 68
168,Medical University of GrazAustria,"3,722",14.1,27%,53 : 47
168,"Northeastern University, USUnited States","21,211",14.6,36%,48 : 52
170,Indiana UniversityUnited States,"66,637",12.6,13%,53 : 47
170,Université Catholique de LouvainBelgium,"24,523",36,20%,54 : 46
170,Sungkyunkwan University (SKKU)South Korea,,,,
"23,399",19.4,18%,n/a,,
173,Wuhan UniversityChina,"55,412",15.2,6%,n/a
174,Ulsan National Institute of Science and Technology (UNIST)South Korea,,,,
"3,896",13.6,9%,27 : 73,,
175,Macquarie UniversityAustralia,,,,
"30,561",69,27%,52 : 48,,
176,Huazhong University of Science and TechnologyChina,"57,167",16.2,4%,n/a
176,University of LiverpoolUnited Kingdom,,,,
"26,350",14.2,36%,55 : 45,,
176,Stockholm UniversitySweden,"30,365",20.7,7%,n/a
179,University of MannheimGermany,"7,684",58.2,13%,n/a
180,University of ArizonaUnited States,"39,797",17,9%,54 : 46
181,Texas A&M UniversityUnited States,"62,931",21.3,8%,47 : 53
182,University of BarcelonaSpain,"45,004",15.8,11%,63 : 37
183,Autonomous University of BarcelonaSpain,"31,933",12.7,16%,60 : 40
183,Scuola Normale Superiore di PisaItaly,629,7.6,13%,28 : 72
185,University of MünsterGermany,"28,014",25.4,7%,n/a
186,Pompeu Fabra UniversitySpain,"11,965",22.4,13%,60 : 40
187,Cardiff UniversityUnited Kingdom,,,,
"27,105",14.3,28%,59 : 41,,
187,National Taiwan University (NTU)Taiwan,,,,
"25,215",11.4,11%,42 : 58,,
189,Friedrich Schiller University JenaGermany,"16,446",20.6,14%,n/a
189,Karlsruhe Institute of TechnologyGermany,"22,673",21.6,20%,29 : 71
191,University of Massachusetts AmherstUnited States,"63,338",13.2,14%,49 : 51
192,University of AberdeenUnited Kingdom,"13,205",16.2,44%,58 : 42
192,"University of California, Santa CruzUnited States","19,266",22.6,14%,47 : 53
194,Medical University of ViennaAustria,"7,274",8.4,33%,50 : 50
194,University of MiamiUnited States,"17,009",10.8,16%,53 : 47
196,University of Erlangen-NurembergGermany,"30,303",43.4,13%,51 : 49
196,Sichuan UniversityChina,,,,
"49,543",15.8,6%,n/a,,
198,Durham UniversityUnited Kingdom,"18,425",14.1,35%,54 : 46
198,Queen’s University BelfastUnited Kingdom,,,,
"19,060",15.8,39%,57 : 43,,
198,University of ReadingUnited Kingdom,"15,720",16.4,32%,56 : 44
201–250,Aalto UniversityFinland,"13,306",19.7,21%,38 : 62
201–250,University of BergenNorway,"15,202",12.8,10%,60 : 40
201–250,Bielefeld UniversityGermany,"24,875",66.6,7%,58 : 42
201–250,University of CalgaryCanada,"33,560",18.7,21%,54 : 46
201–250,Curtin UniversityAustralia,,,,
"29,999",20.8,31%,52 : 48,,
201–250,University of DundeeUnited Kingdom,,,,
"13,630",18.3,27%,64 : 36,,
201–250,University of East AngliaUnited Kingdom,,,,
"15,940",13.3,25%,58 : 42,,
201–250,Eindhoven University of TechnologyNetherlands,"10,240",21,24%,n/a
201–250,University of GenevaSwitzerland,"19,078",8.7,40%,62 : 38
201–250,George Washington UniversityUnited States,"22,298",12.9,15%,62 : 38
201–250,University of GothenburgSweden,"20,891",10.7,12%,n/a
201–250,University of HohenheimGermany,"8,714",39.7,14%,58 : 42
201–250,Humanitas UniversityItaly,,,,
"1,823",19,18%,59 : 41,,
201–250,King Fahd University of Petroleum and MineralsSaudi Arabia,"7,268",8.6,10%,2 : 98
201–250,University of KonstanzGermany,"5,758",24.2,12%,60 : 40
201–250,Korea UniversitySouth Korea,,,,
"22,507",15.8,27%,n/a,,
201–250,Université Libre de BruxellesBelgium,"28,290",49.3,31%,57 : 43
201–250,University of LuxembourgLuxembourg,"5,185",19.3,51%,53 : 47
201–250,University of MacauMacao,,,,
"10,460",15.4,39%,55 : 45,,
201–250,Macau University of Science and TechnologyMacao,,,,
"11,993",38.1,91%,57 : 43,,
201–250,Medical University of InnsbruckAustria,"3,244",12.9,43%,54 : 46
201–250,"Moscow Institute of Physics and Technology (MIPT)
Russian Federation","6,083",11.5,20%,n/a
201–250,University of NewcastleAustralia,"24,363",29.5,18%,57 : 43
201–250,University of Notre DameUnited States,"12,401",10.9,13%,46 : 54
201–250,University of PaduaItaly,"48,524",29.3,8%,55 : 45
201–250,University of PotsdamGermany,"14,993",39.6,14%,57 : 43
201–250,Qatar UniversityQatar,"9,084",8.8,35%,77 : 23
201–250,Queensland University of TechnologyAustralia,,,,
"35,278",37.9,17%,53 : 47,,
201–250,RCSI University of Medicine and Health SciencesIreland,,,,
"2,563",24.2,70%,n/a,,
201–250,Rutgers UniversityUnited States,"46,158",10.9,17%,53 : 47
201–250,"St George’s, University of LondonUnited Kingdom","3,490",13.2,20%,64 : 36
201–250,Sant’Anna School of Advanced Studies – PisaItaly,,,,
"1,100",14,19%,41 : 59,,
201–250,University of São PauloBrazil,"82,010",15.9,4%,47 : 53
201–250,Sapienza University of RomeItaly,"72,604",28.2,10%,60 : 40
201–250,Semmelweis UniversityHungary,,,,
"9,860",12.2,34%,69 : 31,,
201–250,University of South FloridaUnited States,"39,907",18.6,13%,n/a
201–250,University of St AndrewsUnited Kingdom,"9,770",12.3,47%,59 : 41
201–250,University of SurreyUnited Kingdom,"14,960",16.9,36%,53 : 47
201–250,University of SussexUnited Kingdom,"17,790",17.4,37%,55 : 45
201–250,Università della Svizzera italianaSwitzerland,"3,266",12.5,66%,47 : 53
201–250,University of TartuEstonia,"9,235",12,13%,68 : 32
201–250,Tel Aviv UniversityIsrael,"23,834",23,7%,57 : 43
201–250,Tohoku UniversityJapan,"17,812",12.4,14%,28 : 72
201–250,University College DublinIreland,"23,361",21.3,31%,n/a
201–250,Vita-Salute San Raffaele UniversityItaly,"3,560",15.1,5%,61 : 39
201–250,Vrije Universiteit BrusselBelgium,"14,284",33.6,23%,57 : 43
201–250,University of WaterlooCanada,"34,306",23.2,23%,48 : 52
201–250,Western UniversityCanada,,,,
"29,747",29.5,22%,56 : 44,,
201–250,Western Sydney UniversityAustralia,"36,033",40.3,22%,58 : 42
201–250,University of WollongongAustralia,"17,440",29.1,27%,54 : 46
251–300,Aalborg UniversityDenmark,"16,818",14.7,14%,n/a
251–300,Auckland University of TechnologyNew Zealand,,,,
"18,837",17.3,49%,59 : 41,,
251–300,Australian Catholic UniversityAustralia,"23,728",39.1,15%,75 : 25
251–300,University of BathUnited Kingdom,"14,955",15.4,34%,46 : 54
251–300,Beijing Normal UniversityChina,"24,416",14.3,10%,n/a
251–300,Bond UniversityAustralia,"3,214",10.9,39%,54 : 46
251–300,Boston CollegeUnited States,"12,755",14.5,12%,54 : 46
251–300,Bournemouth UniversityUnited Kingdom,"13,825",18.6,21%,53 : 47
251–300,Brighton and Sussex Medical SchoolUnited Kingdom,"1,015",20.3,17%,60 : 40
251–300,"University of California, RiversideUnited States","24,515",18.6,14%,53 : 47
251–300,University of CanberraAustralia,"10,785",35.5,26%,n/a
251–300,Chalmers University of TechnologySweden,"9,513",13.8,19%,32 : 68
251–300,"China Medical University, TaiwanTaiwan","7,284",15.5,9%,56 : 44
251–300,Copenhagen Business SchoolDenmark,"16,547",27.7,24%,48 : 52
251–300,Deakin UniversityAustralia,"43,080",33.9,25%,58 : 42
251–300,University of Duisburg-EssenGermany,,,,
"41,618",43.7,19%,49 : 51,,
251–300,Heinrich Heine University DüsseldorfGermany,"29,365",32.8,12%,58 : 42
251–300,École des Ponts ParisTechFrance,"1,959",10,37%,32 : 68
251–300,Goethe University FrankfurtGermany,"30,082",12.7,14%,58 : 42
251–300,Griffith UniversityAustralia,,,,
"35,900",32.9,17%,59 : 41,,
251–300,University of Hawai’i at MānoaUnited States,"14,628",10.7,11%,56 : 44
251–300,Hebrew University of JerusalemIsrael,"16,175",11.3,5%,57 : 43
251–300,University of Illinois ChicagoUnited States,"28,724",11.3,19%,54 : 46
251–300,Indian Institute of ScienceIndia,"3,990",8.8,1%,27 : 73
251–300,Johannes Gutenberg University of MainzGermany,"30,856",25.5,12%,59 : 41
251–300,University of KielGermany,"27,911",22.7,9%,53 : 47
251–300,King Saud UniversitySaudi Arabia,"33,931",10.6,14%,44 : 56
251–300,Kyung Hee UniversitySouth Korea,,,,
"20,504",17.7,27%,55 : 45,,
251–300,La Trobe UniversityAustralia,,,,
"21,663",27.4,33%,63 : 37,,
251–300,Université LavalCanada,"28,611",16.9,15%,58 : 42
251–300,Linköping UniversitySweden,"15,026",14.4,15%,52 : 48
251–300,University of NavarraSpain,"11,466",14.7,27%,54 : 46
251–300,Oregon Health and Science UniversityUnited States,"3,035",1,3%,67 : 33
251–300,Osaka UniversityJapan,"22,485",10.5,10%,33 : 67
251–300,University of PaviaItaly,"20,027",34.9,10%,57 : 43
251–300,Queen’s UniversityCanada,,,,
"26,556",26.2,17%,59 : 41,,
251–300,Ruhr University BochumGermany,"38,441",48.5,15%,50 : 50
251–300,Sejong UniversitySouth Korea,"12,356",20.8,13%,48 : 52
251–300,University of SharjahUnited Arab Emirates,"12,933",19.2,55%,67 : 33
251–300,Simon Fraser UniversityCanada,,,,
"26,981",27.5,31%,54 : 46,,
251–300,University of Southern DenmarkDenmark,"18,471",10.2,14%,53 : 47
251–300,Stellenbosch UniversitySouth Africa,,,,
"24,907",25.9,8%,56 : 44,,
251–300,Sun Yat-sen UniversityChina,"57,951",15.1,5%,49 : 51
251–300,Swansea UniversityUnited Kingdom,"17,490",15.4,22%,47 : 53
251–300,Tilburg UniversityNetherlands,,,,
"11,876",29.9,20%,51 : 49,,
251–300,Tongji UniversityChina,,,,
"30,153",10.8,12%,46 : 54,,
251–300,University of TwenteNetherlands,"9,816",14.7,37%,37 : 63
251–300,United Arab Emirates UniversityUnited Arab Emirates,,,,
"7,121",10.9,17%,80 : 20,,
251–300,University of UtahUnited States,"30,967",13.6,8%,48 : 52
251–300,Virginia Polytechnic Institute and State UniversityUnited States,,,,
"36,512",18.5,14%,43 : 57,,
251–300,University of the WitwatersrandSouth Africa,,,,
"26,871",23.6,7%,56 : 44,,
301–350,Abu Dhabi UniversityUnited Arab Emirates,"3,926",18.1,60%,51 : 49
301–350,Aix-Marseille UniversityFrance,"70,054",17.4,13%,60 : 40
301–350,Alfaisal UniversitySaudi Arabia,,,,
"2,851",10.2,32%,59 : 41,,
301–350,Anglia Ruskin University (ARU)United Kingdom,"20,285",27.8,46%,64 : 36
301–350,Autonomous University of MadridSpain,"29,327",13.2,12%,61 : 39
301–350,University of BordeauxFrance,,,,
"53,755",22.4,13%,59 : 41,,
301–350,Brandeis UniversityUnited States,"5,427",13.1,28%,59 : 41
301–350,Universiti Brunei DarussalamBrunei Darussalam,,,,
"3,641",10.8,14%,66 : 34,,
301–350,University at BuffaloUnited States,"27,393",18,15%,45 : 55
301–350,"University of California, MercedUnited States","9,185",20.1,10%,52 : 48
301–350,University of Colorado Denver/Anschutz Medical CampusUnited States,"17,224",3.8,8%,57 : 43
301–350,Dalhousie UniversityCanada,,,,
"16,901",14.8,28%,55 : 45,,
301–350,Drexel UniversityUnited States,"19,304",12.5,14%,51 : 49
301–350,École Normale Supérieure de LyonFrance,"2,171",8.6,11%,47 : 53
301–350,University of EssexUnited Kingdom,"14,335",15.3,40%,54 : 46
301–350,Flinders UniversityAustralia,"17,027",27.9,36%,65 : 35
301–350,Florida State UniversityUnited States,"39,380",24,7%,57 : 43
301–350,University of GalwayIreland,"15,109",26.1,20%,60 : 40
301–350,George Mason UniversityUnited States,"32,157",18.1,12%,53 : 47
301–350,Hasselt UniversityBelgium,"5,683",31.1,14%,49 : 51
301–350,University of IowaUnited States,"29,257",11.1,8%,54 : 46
301–350,Lappeenranta-Lahti University of Technology LUTFinland,"4,609",30.3,12%,33 : 67
301–350,University of MilanItaly,"47,512",21.2,7%,60 : 40
301–350,University of Milan-BicoccaItaly,"29,057",29.2,5%,62 : 38
301–350,Montpellier UniversityFrance,"40,179",20.1,15%,54 : 46
301–350,Nagoya UniversityJapan,"15,224",12.8,12%,30 : 70
301–350,Nankai UniversityChina,,,,
"31,322",11.3,5%,n/a,,
301–350,University of OtagoNew Zealand,"18,508",19.7,19%,60 : 40
301–350,University of OuluFinland,,,,
"10,134",19.8,7%,54 : 46,,
301–350,"Peter the Great St Petersburg Polytechnic University
Russian Federation","16,375",9.7,32%,41 : 59
301–350,Politecnico di MilanoItaly,,,,
"37,532",25.4,18%,n/a,,
301–350,Reykjavík UniversityIceland,"2,757",22.9,8%,47 : 53
301–350,RMIT UniversityAustralia,"32,692",23.6,34%,48 : 52
301–350,University of St GallenSwitzerland,"8,065",12.2,34%,35 : 65
301–350,Saint Louis UniversityUnited States,"10,798",7.4,7%,60 : 40
301–350,University of South AustraliaAustralia,,,,
"23,490",32.9,21%,58 : 42,,
301–350,University of Southern QueenslandAustralia,"12,150",26,18%,62 : 38
301–350,Stony Brook UniversityUnited States,"25,411",10.6,22%,52 : 48
301–350,University of StuttgartGermany,"16,054",26.5,19%,34 : 66
301–350,Swinburne University of TechnologyAustralia,"15,327",25.6,25%,38 : 62
301–350,Taipei Medical UniversityTaiwan,,,,
"5,946",9.1,10%,58 : 42,,
301–350,Tampere UniversityFinland,"15,855",20.6,6%,54 : 46
301–350,University of TasmaniaAustralia,"18,264",22.9,36%,60 : 40
301–350,Technical University of DarmstadtGermany,"15,526",37.1,18%,34 : 66
301–350,Temple UniversityUnited States,"35,641",12.5,8%,54 : 46
301–350,The University of TennesseeUnited States,"27,308",16.7,4%,n/a
301–350,Tokyo Institute of TechnologyJapan,"9,878",9.5,17%,16 : 84
301–350,University College CorkIreland,"17,925",20.8,20%,59 : 41
301–350,University of VictoriaCanada,"20,936",24.6,21%,55 : 45
351–400,American University of BeirutLebanon,"9,267",8.7,22%,51 : 49
351–400,"Asia University, TaiwanTaiwan","11,421",30.3,7%,62 : 38
351–400,Ateneo de Manila UniversityPhilippines,"13,159",10,4%,51 : 49
351–400,"Birkbeck, University of LondonUnited Kingdom","8,060",16.6,40%,56 : 44
351–400,University of BremenGermany,"12,635",20.1,14%,53 : 47
351–400,University of BresciaItaly,"15,133",24.6,7%,46 : 54
351–400,University of Cape CoastGhana,,,,
"28,451",35.5,0%,33 : 67,,
351–400,Catholic University of PortugalPortugal,"11,213",22.2,21%,63 : 37
351–400,Central South UniversityChina,"56,344",20.4,4%,n/a
351–400,Charles Darwin UniversityAustralia,"7,246",34.5,30%,69 : 31
351–400,"City, University of LondonUnited Kingdom","15,460",18.2,51%,57 : 43
351–400,University of DelawareUnited States,"21,808",16.3,12%,57 : 43
351–400,East China Normal UniversityChina,"28,055",14.7,11%,64 : 36
351–400,Edith Cowan UniversityAustralia,,,,
"18,759",30.4,28%,60 : 40,,
351–400,Golestan University of Medical SciencesIran,"3,721",11.5,11%,60 : 40
351–400,University of GreifswaldGermany,"10,291",20.6,8%,58 : 42
351–400,University of HailSaudi Arabia,"19,366",11.2,10%,63 : 37
351–400,Harbin Institute of TechnologyChina,"30,542",10.5,6%,n/a
351–400,Howard UniversityUnited States,"8,782",8.2,6%,70 : 30
351–400,Imam Mohammad Ibn Saud Islamic UniversitySaudi Arabia,"43,110",10.8,3%,39 : 61
351–400,IMT AtlantiqueFrance,"1,436",7.7,33%,25 : 75
351–400,James Cook UniversityAustralia,"12,825",20.1,32%,62 : 38
351–400,JSS Academy of Higher Education and ResearchIndia,"7,891",9.5,7%,54 : 46
351–400,University of KentUnited Kingdom,"16,705",17,29%,54 : 46
351–400,Khalifa UniversityUnited Arab Emirates,,,,
"3,029",8.8,22%,58 : 42,,
351–400,Kurdistan University of Medical SciencesIran,"3,181",10.5,2%,49 : 51
351–400,Leuphana University of LüneburgGermany,"7,839",26.1,7%,62 : 38
351–400,University of LiègeBelgium,"21,910",26.8,21%,58 : 42
351–400,Loughborough UniversityUnited Kingdom,"15,815",13.8,29%,41 : 59
351–400,University of MalayaMalaysia,"18,320",9.8,18%,58 : 42
351–400,University of ManitobaCanada,"29,561",29.4,20%,54 : 46
351–400,Mazandaran University of Medical SciencesIran,"7,845",15.1,1%,57 : 43
351–400,University of Naples Federico IIItaly,"53,319",20.2,2%,55 : 45
